Date,CDS,US10Y,DXY,RESERVES,ln_DXY,ln_RES,BRUNSON,AGBAL
2015-06-05,215.035,2.41,96.306,122415.0,4.567530622159135,11.715172190571453,0,0
2015-06-12,227.445,2.39,94.972,122368.0,4.553582111314996,11.714788176971018,0,0
2015-06-19,224.65,2.26,94.085,120864.0,4.544198628996607,11.702421225512184,0,0
2015-06-26,214.92,2.49,95.472,119909.0,4.558833010779726,11.69448840075068,0,0
2015-07-03,218.625,2.4,96.113,120313.0,4.565524582581729,11.697851959299761,0,0
2015-07-10,214.545,2.42,96.025,120400.0,4.564608574231968,11.698574811856858,0,0
2015-07-17,210.765,2.34,97.862,120302.0,4.583558323011631,11.697760526928482,0,0
2015-07-24,224.825,2.27,97.244,119006.0,4.5772232839371405,11.68692919099068,0,0
2015-07-31,235.42,2.2,97.336,120639.0,4.5781689104851475,11.70055789408276,0,0
2015-08-07,245.005,2.18,97.563,120479.0,4.580498323182441,11.699230742866472,0,0
2015-08-14,256.54,2.2,96.52,120657.0,4.569750240756831,11.700707088433544,0,0
2015-08-21,278.465,2.05,95.008,120358.0,4.5539610985813495,11.698225913789702,0,0
2015-08-28,259.97,2.19,96.106,120414.0,4.565451748990845,11.698691084166738,0,0
2015-09-04,273.8049999999999,2.13,96.229,121106.0,4.5667307675445965,11.704421474143722,0,0
2015-09-11,292.055,2.2,95.194,119268.0,4.555916914601063,11.689128340756007,0,0
2015-09-18,265.02,2.13,94.863,118712.0,4.552433745502806,11.684455670685962,0,0
2015-09-25,301.685,2.17,96.269,117931.0,4.567146356283967,11.67785498665461,0,0
2015-10-02,317.865,1.99,95.83,118107.0,4.562575788355671,11.679346272232506,0,0
2015-10-09,268.11,2.12,94.813,117618.0,4.551906530661095,11.67519736395848,0,0
2015-10-16,262.36,2.04,94.54,117469.0,4.5490230253650905,11.673929747969916,0,0
2015-10-23,248.57,2.09,97.127,118476.0,4.57601940049639,11.68246568739945,0,0
2015-10-30,252.6,2.16,96.946,118560.0,4.574154122456902,11.683174440529914,0,0
2015-11-06,247.0,2.34,99.168,119427.0,4.596815381605338,11.690460585030223,0,0
2015-11-13,250.98,2.28,98.998,118742.0,4.595099647910325,11.684708351206481,0,0
2015-11-20,239.14,2.26,99.565,118296.0,4.600810697210639,11.680945237053324,0,0
2015-11-27,267.57,2.22,100.02,118472.0,4.605370165990758,11.682431924717338,0,0
2015-12-04,266.08,2.28,98.354,116090.0,4.588573215080722,11.662121031332081,0,0
2015-12-11,283.145,2.13,97.565,116502.0,4.580518822546962,11.66566371922251,0,0
2015-12-18,263.55,2.19,98.703,113530.0,4.592115341114291,11.639822398158579,0,0
2015-12-25,269.725,2.25,97.847,113251.0,4.583405034199881,11.637361873328372,0,0
2016-01-01,267.515,2.27,98.683,110528.0,4.591912692496168,11.61302416150635,0,0
2016-01-08,296.425,2.13,98.54,112568.0,4.590462557115817,11.631312762468092,0,0
2016-01-15,306.455,2.03,98.956,111381.0,4.59467530689544,11.620712035375936,0,0
2016-01-22,291.165,2.07,99.574,111152.0,4.600901086335884,11.618653912932663,0,0
2016-01-29,273.77,1.94,99.606,111334.0,4.601222403739994,11.620289971296751,0,0
2016-02-05,284.33,1.86,97.031,111714.0,4.575030515075,11.623697312924108,0,0
2016-02-12,301.1799999999999,1.74,95.94,111907.0,4.563722996073918,11.625423448196921,0,0
2016-02-19,303.18,1.76,96.6,110872.0,4.570578741218473,11.61613166174864,0,0
2016-02-26,300.775,1.76,98.148,110838.0,4.5864765435408374,11.615824954786692,0,0
2016-03-04,275.22,1.88,97.34,112073.0,4.5782100044053085,11.626905723671461,0,0
2016-03-11,254.62,1.98,96.172,114792.0,4.566138255014333,11.650877074028243,0,0
2016-03-18,239.175,1.88,95.086,114430.0,4.554781745254863,11.64771856131176,0,0
2016-03-25,265.235,1.91,96.273,114041.0,4.567187905660213,11.644313311841197,0,0
2016-04-01,254.82,1.79,94.619,114151.0,4.549858301557004,11.645277412322548,0,0
2016-04-08,264.905,1.72,94.235,116576.0,4.5457916624685915,11.66629869980829,0,0
2016-04-15,241.08,1.76,94.696,116341.0,4.550671760651593,11.66428081292377,0,0
2016-04-22,231.76,1.89,95.116,114620.0,4.555097199353651,11.649377588105729,0,0
2016-04-29,234.965,1.83,93.082,116026.0,4.533480825096246,11.661569582904383,0,0
2016-05-06,263.14,1.79,93.888,119026.0,4.542102582520517,11.68709723562373,0,0
2016-05-13,262.7,1.71,94.608,119639.0,4.549742039078474,11.692234154300394,0,0
2016-05-20,274.51,1.85,95.334,117234.0,4.557386515134285,11.671927216442565,0,0
2016-05-27,266.225,1.85,95.521,117498.0,4.559346118601217,11.674176591144892,0,0
2016-06-03,258.865,1.71,94.029,119433.0,4.54360324532868,11.690510823663743,0,0
2016-06-10,244.96,1.64,94.571,121207.0,4.549350875149372,11.705255106725128,0,0
2016-06-17,260.35,1.62,94.206,120113.0,4.54548387382144,11.696188245340934,0,0
2016-06-24,256.84,1.57,95.448,120369.0,4.558581596573499,11.698317303621401,0,0
2016-07-01,247.0,1.46,95.649,122571.0,4.560685241048547,11.716445732905177,0,0
2016-07-08,227.88,1.37,96.302,122611.0,4.567489087020403,11.716772021134776,0,0
2016-07-15,220.14,1.6,96.58,122710.0,4.570371680445396,11.717579126970593,0,0
2016-07-22,275.695,1.57,97.467,121426.0,4.579513859174305,11.707060302716373,0,0
2016-07-29,270.51,1.46,95.53,119717.0,4.559440334281917,11.692885903182903,0,0
2016-08-05,261.425,1.59,96.194,120935.0,4.566366985664198,11.703008490157947,0,0
2016-08-12,239.895,1.51,95.722,122426.0,4.561448157096859,11.715262044803444,0,0
2016-08-19,241.78,1.58,94.511,123483.0,4.548716229841898,11.723858773753426,0,0
2016-08-26,238.81,1.62,95.566,122368.0,4.559817108263852,11.714788176971018,0,0
2016-09-02,244.02,1.6,95.844,122863.0,4.562721869723252,11.718825192456594,0,0
2016-09-09,234.705,1.67,95.336,123442.0,4.557407493788505,11.723526689109288,0,0
2016-09-16,242.27,1.7,96.108,122895.0,4.565472559129546,11.719085611244024,0,0
2016-09-23,240.2,1.62,95.477,121991.0,4.558885380784294,11.711702550502414,0,0
2016-09-30,258.0,1.6,95.463,117846.0,4.558738737859552,11.677133966337257,0,0
2016-10-07,243.775,1.73,96.632,118439.0,4.570909949302977,11.682153339086335,0,0
2016-10-14,247.985,1.8,98.019,119450.0,4.585161337429769,11.690653152753956,0,0
2016-10-21,241.935,1.74,98.695,119615.0,4.59203428659495,11.692033530694681,0,0
2016-10-28,248.26,1.86,98.348,119743.0,4.588512209091949,11.693103058449772,0,0
2016-11-04,267.6,1.79,97.065,120588.0,4.575380857177339,11.70013505583696,0,0
2016-11-11,286.415,2.15,99.06,123043.0,4.595725727160092,11.720289166756922,0,0
2016-11-18,287.18,2.34,101.21,117504.0,4.61719756620081,11.674227654540108,0,0
2016-11-25,290.9,2.36,101.49,115261.0,4.619960271460727,11.654954400989807,0,0
2016-12-02,298.985,2.4,100.77,113598.0,4.612840692292311,11.640421179480404,0,0
2016-12-09,278.575,2.47,101.59,112319.0,4.620945105103454,11.629098316086102,0,0
2016-12-16,274.52,2.6,102.95,111705.0,4.634243433473799,11.623616746812855,0,0
2016-12-23,268.475,2.55,103.01,110124.0,4.634826070895602,11.609362282607014,0,0
2016-12-30,268.745,2.45,102.21,106101.0,4.627029520340985,11.572146749628347,0,0
2017-01-06,265.21,2.42,102.22,110984.0,4.627127353340134,11.617141325760562,0,0
2017-01-13,283.115,2.4,101.18,110559.0,4.61690110886379,11.613304594098073,0,0
2017-01-20,276.505,2.48,100.74,107563.0,4.612542940317504,11.585832001403288,0,0
2017-01-27,267.655,2.49,100.53,107832.0,4.610456190417329,11.588329739418105,0,0
2017-02-03,248.43,2.49,99.868,107454.0,4.6038493140206755,11.584818127994794,0,0
2017-02-10,243.885,2.41,100.8,109118.0,4.613138355637268,11.600185144463573,0,0
2017-02-17,235.465,2.42,100.95,105369.0,4.614625344758847,11.565223754181263,0,0
2017-02-24,232.17,2.31,101.09,107099.0,4.616011209165967,11.581508919324088,0,0
2017-03-03,239.95,2.49,101.54,105882.0,4.620452809519248,11.570080545471289,0,0
2017-03-10,230.31,2.58,101.25,109625.0,4.617592705986649,11.604820729674485,0,0
2017-03-17,218.925,2.5,100.3,108690.0,4.60816569496789,11.596255072557232,0,0
2017-03-24,230.7,2.4,99.627,107203.0,4.601433212191182,11.58247951230189,0,0
2017-03-31,235.43,2.4,100.35,105678.0,4.608664075242347,11.56815201396035,0,0
2017-04-07,231.195,2.38,101.18,106346.0,4.61690110886379,11.574453208261433,0,0
2017-04-14,229.1,2.24,100.51,105140.0,4.610257225036649,11.56304807437344,0,0
2017-04-21,227.545,2.24,99.977,102967.0,4.604940159534035,11.542163827526945,0,0
2017-04-28,205.28,2.29,99.05,102733.0,4.59562477314456,11.539888668548445,0,0
2017-05-05,202.585,2.36,98.648,105929.0,4.591557958568229,11.570524337349626,0,0
2017-05-12,204.8,2.33,99.252,105429.0,4.59766207049777,11.565793019559685,0,0
2017-05-19,207.8,2.23,97.142,105022.0,4.576173825546499,11.561925131002136,0,0
2017-05-26,194.195,2.25,97.442,104931.0,4.579257329202503,11.56105827026951,0,0
2017-06-02,194.0,2.15,96.715,105957.0,4.571768509354061,11.570788630414416,0,0
2017-06-09,193.92,2.21,97.274,106717.0,4.577531738684135,11.577935749809804,0,0
2017-06-16,185.55,2.16,97.164,109015.0,4.576400272491978,11.599240766422149,0,0
2017-06-23,187.25,2.15,97.264,107610.0,4.5774289310063665,11.586268859194439,0,0
2017-06-30,194.45,2.31,95.628,108708.0,4.560465664203611,11.596420667457288,0,0
2017-07-07,203.835,2.39,96.008,108784.0,4.56443152132914,11.59711954376624,0,0
2017-07-14,188.94,2.33,95.153,105130.0,4.555486122409602,11.562952958569877,0,0
2017-07-21,180.06,2.24,93.858,104762.0,4.541783001807688,11.559446389695617,0,0
2017-07-28,181.06,2.3,93.259,106761.0,4.535380568611985,11.578347970278639,0,0
2017-08-04,172.555,2.27,93.542,108759.0,4.538410533296448,11.596889704147314,0,0
2017-08-11,180.5,2.19,93.069,108164.0,4.533341153539057,11.591403872841486,0,0
2017-08-18,177.32,2.19,93.434,107548.0,4.53725530468945,11.585692538521108,0,0
2017-08-25,171.51,2.17,92.74,110310.0,4.529799878963315,11.611049862963428,0,0
2017-09-01,159.47,2.16,92.814,111991.0,4.530597490482583,11.626173789905566,0,0
2017-09-08,162.18,2.06,91.352,113305.0,4.514720176399347,11.637838576669026,0,0
2017-09-15,161.12,2.2,91.872,112503.0,4.520396303938654,11.630735166937729,0,0
2017-09-22,183.355,2.26,92.171,111823.0,4.5236455474639135,11.624672543052801,0,0
2017-09-29,184.5,2.33,93.076,111943.0,4.533416363724701,11.625745092157702,0,0
2017-10-06,175.53,2.37,93.8,114328.0,4.541164856012179,11.646826789161631,0,0
2017-10-13,175.89,2.28,93.091,116702.0,4.533577509363106,11.667378956088378,0,0
2017-10-20,171.84,2.39,93.701,114993.0,4.540108861546019,11.652626535927542,0,0
2017-10-27,189.555,2.42,94.916,116900.0,4.552992289929511,11.66907414746016,0,0
2017-11-03,194.99,2.34,94.941,118516.0,4.5532556460358915,11.682803251539841,0,0
2017-11-10,212.585,2.4,94.391,119158.0,4.547445729623354,11.688205622530607,0,0
2017-11-17,205.97,2.35,93.662,117030.0,4.539692557360419,11.670185591168812,0,0
2017-11-24,204.91,2.34,92.782,118945.0,4.53025265546117,11.686416480379366,0,0
2017-12-01,199.24,2.37,92.885,112443.0,4.531362168843367,11.630201705561017,0,0
2017-12-08,184.395,2.38,93.901,114287.0,4.542241035784773,11.64646810753147,0,0
2017-12-15,176.89,2.35,93.932,113581.0,4.542571116231569,11.640271517759631,0,0
2017-12-22,167.58,2.48,93.347,111396.0,4.536323732352952,11.620846699187933,0,0
2017-12-29,166.97,2.4,92.124,107651.0,4.5231354956337615,11.586649792113041,0,0
2018-01-05,156.66,2.47,91.949,111455.0,4.521234075515389,11.621376200975032,0,0
2018-01-12,156.92,2.55,90.974,112124.0,4.510573751407033,11.627360680703712,0,0
2018-01-19,166.085,2.64,90.572,113931.0,4.506145114510275,11.643348280973047,0,0
2018-01-26,163.09,2.66,89.067,116732.0,4.489388895502348,11.667635988056,0,0
2018-02-02,164.49,2.84,89.195,116104.0,4.490824984203231,11.6622416201502,0,0
2018-02-09,179.45,2.83,90.442,115793.0,4.504708761274057,11.659559393243828,0,0
2018-02-16,165.11,2.87,89.1,116053.0,4.489759334476764,11.661802262294778,0,0
2018-02-23,170.35,2.88,89.883,113894.0,4.498508824597217,11.643023470260218,0,0
2018-03-02,171.045,2.86,89.935,114396.0,4.499087187179934,11.64742139228158,0,0
2018-03-09,166.855,2.9,90.093,115777.0,4.5008424701422145,11.659421206086376,0,0
2018-03-16,171.85,2.85,90.233,114918.0,4.502395213818984,11.651974109530716,0,0
2018-03-23,182.86,2.82,89.436,114024.0,4.493523285687557,11.644164231534868,0,0
2018-03-30,191.4,2.74,89.974,110046.0,4.499520739704943,11.608653739179088,0,0
2018-04-06,194.97,2.77,90.108,108427.0,4.501008950905748,11.59383241446381,0,0
2018-04-13,200.39,2.82,89.8,112296.0,4.497584975308154,11.628893521214161,0,0
2018-04-20,193.685,2.96,90.316,111569.0,4.503314631881081,11.622398512564176,0,0
2018-04-27,192.545,2.96,91.542,112762.0,4.5167978833591205,11.633034681856849,0,0
2018-05-04,225.08,2.95,92.566,110951.0,4.527921903602145,11.616843941389073,0,0
2018-05-11,231.97,2.97,92.537,110710.0,4.527608564539706,11.614669448853512,0,0
2018-05-18,272.64,3.06,93.637,108862.0,4.539425604518723,11.597836304040625,0,0
2018-05-25,264.365,2.93,94.253,108232.0,4.545982656060276,11.592032350283196,0,0
2018-06-01,274.13,2.89,94.156,106645.0,4.54495298116608,11.577260840475123,0,0
2018-06-08,268.125,2.93,93.535,106748.0,4.538335697800868,11.578226195552364,0,0
2018-06-15,303.995,2.93,94.788,103610.0,4.551642818970282,11.548389129245798,0,0
2018-06-22,298.79,2.9,94.52,103460.0,4.548811452318707,11.546940343557505,0,0
2018-06-29,293.65,2.85,94.47,98400.0,4.548282323781043,11.496796083040344,0,0
2018-07-06,286.11,2.82,93.963,102021.0,4.542901087761213,11.532933953428486,0,0
2018-07-13,323.555,2.83,94.677,101717.0,4.550471098465708,11.529949726376008,0,0
2018-07-20,307.13,2.89,94.476,101481.0,4.54834583399033,11.527626867823122,0,0
2018-07-27,308.29,2.96,94.669,100610.0,4.550386597076666,11.519006935286097,0,0
2018-08-03,336.415,2.95,95.161,102918.0,4.555570193996608,11.54168783363788,1,0
2018-08-10,404.475,2.87,96.357,101276.0,4.56806004401171,11.525604742127301,1,0
2018-08-17,503.755,2.87,96.101,92320.0,4.56539972174937,11.433016081741927,1,0
2018-08-24,476.37,2.82,95.146,92691.0,4.5554125539725305,11.43702665946202,1,0
2018-08-31,564.125,2.86,95.14,88848.0,4.555349491004136,11.394682323481389,1,0
2018-09-07,540.3,2.94,95.365,88752.0,4.55771163482839,11.393601242295016,0,0
2018-09-14,436.155,2.99,94.927,87574.0,4.553108175161122,11.380239429216592,0,0
2018-09-21,397.82,3.07,94.22,84182.0,4.545632473271895,11.340736400654828,0,0
2018-09-28,368.005,3.05,95.132,84655.0,4.555265400859451,11.346339452562333,0,0
2018-10-05,416.435,3.23,95.624,84194.0,4.56042383457568,11.340878938784018,0,0
2018-10-12,400.71,3.15,95.221,84362.0,4.556200505706606,11.342872342230127,0,0
2018-10-19,388.335,3.2,95.713,83814.0,4.5613541304036564,11.336355336955606,0,0
2018-10-26,387.45,3.08,96.359,86280.0,4.5680807999427175,11.365353100503093,0,0
2018-11-02,369.72,3.22,96.542,88140.0,4.569978146819083,11.386681738395978,0,0
2018-11-09,361.495,3.19,96.905,88380.0,4.573731117152711,11.389400978684732,0,0
2018-11-16,363.19,3.08,96.465,89746.0,4.569180248254936,11.404738737112206,0,0
2018-11-23,389.01,3.05,96.916,90176.0,4.573844623945182,11.409518595258351,0,0
2018-11-30,386.9,3.01,97.272,91002.0,4.5775111779941176,11.418636763279451,0,0
2018-12-07,380.975,2.85,96.514,90762.0,4.569688075542393,11.415995974790254,0,0
2018-12-14,381.765,2.89,97.443,92558.0,4.579267591664981,11.435590754028233,0,0
2018-12-21,368.905,2.79,96.956,92089.0,4.574257267344617,11.430510779714115,0,0
2018-12-28,358.92,2.72,96.402,91930.0,4.568526948289253,11.4287826968578,0,0
2019-01-04,360.23,2.67,96.179,93167.0,4.566211038623496,11.442148860720312,0,0
2019-01-11,365.5,2.71,95.67,92811.0,4.560904769690076,11.438320446232394,0,0
2019-01-18,337.265,2.79,96.336,94247.0,4.567842080722092,11.453674274564937,0,0
2019-01-25,312.36,2.76,95.794,93332.0,4.562200052535277,11.44391830766695,0,0
2019-02-01,303.0,2.7,95.579,97624.0,4.5599531306554395,11.488878643811676,0,0
2019-02-08,309.5599999999999,2.63,96.637,98829.0,4.570961690658302,11.501146362933932,0,0
2019-02-15,309.355,2.66,96.904,98553.0,4.573720797714501,11.498349753517841,0,0
2019-02-22,317.285,2.65,96.507,99670.0,4.569615544574228,11.509620007961502,0,0
2019-03-01,303.195,2.76,96.527,100064.0,4.569822761956363,11.513565260257568,0,0
2019-03-08,325.175,2.62,97.306,97396.0,4.577860652244506,11.486540421025516,0,0
2019-03-15,311.095,2.59,96.595,94439.0,4.570526980044518,11.4557094024098,0,0
2019-03-22,371.19,2.44,96.651,92381.0,4.5711065522122984,11.433676608779873,0,0
2019-03-29,435.24,2.41,97.284,96241.0,4.57763453579357,11.47461074128452,0,0
2019-04-05,381.205,2.5,97.395,97305.0,4.57877487462856,11.485605654315265,0,0
2019-04-12,440.965,2.56,96.972,97809.0,4.574422277039311,11.490771876328788,0,0
2019-04-19,428.39,2.57,97.378,95945.0,4.578600312445473,11.471530389603842,0,0
2019-04-26,454.15,2.51,98.006,93715.0,4.585028701286225,11.448013540793085,0,0
2019-05-03,437.315,2.54,97.52,93050.0,4.5800574851730165,11.440892262070397,0,0
2019-05-10,485.18,2.47,97.33,93656.0,4.578107266438402,11.447383774159508,0,0
2019-05-17,483.28,2.39,97.995,92474.0,4.584916456960824,11.434682802908744,0,0
2019-05-24,514.6700000000001,2.32,97.613,93547.0,4.581010681270462,11.44621926277542,0,0
2019-05-31,483.715,2.14,97.75,95554.0,4.582413198865475,11.467446811691199,0,0
2019-06-07,466.655,2.09,96.544,96379.0,4.56999886297665,11.4760436145439,0,0
2019-06-14,471.0549999999999,2.09,97.572,97407.0,4.580590567013701,11.486653355631367,0,0
2019-06-21,435.97,2.07,96.22,97010.0,4.5666372362713075,11.48256934495533,0,0
2019-06-28,394.875,2.0,96.13,96397.0,4.565701442077724,11.47623035978244,0,0
2019-07-05,368.325,2.04,97.286,97246.0,4.577655093947449,11.484999129529387,0,0
2019-07-12,396.99,2.12,96.81,98876.0,4.57275029473198,11.501621818798837,0,0
2019-07-19,372.035,2.05,97.151,98320.0,4.576266469131255,11.495982744239916,0,0
2019-07-26,349.225,2.08,98.01,98386.0,4.585069514281089,11.49665379649533,0,0
2019-08-02,364.59,1.86,98.074,98568.0,4.585722295765275,11.498501944304504,0,0
2019-08-09,375.875,1.74,97.491,104108.0,4.579760066050876,11.553184100833791,0,0
2019-08-16,409.595,1.55,98.142,102688.0,4.586415409504443,11.539450543909583,0,0
2019-08-23,408.905,1.52,97.64,101533.0,4.581287245524759,11.52813914777561,0,0
2019-08-30,421.44,1.5,98.916,101504.0,4.594271005119091,11.527853485554465,0,0
2019-09-06,375.39,1.55,98.394,101851.0,4.588979826589363,11.531266239967087,0,0
2019-09-13,374.45,1.9,98.257,100874.0,4.587586495030775,11.521627492264129,0,0
2019-09-20,371.695,1.74,98.513,103039.0,4.590188519164921,11.542862836322143,0,0
2019-09-27,356.245,1.69,99.109,101706.0,4.596220254568502,11.529841577346541,0,0
2019-10-04,355.94,1.52,98.808,105830.0,4.593178573135713,11.56958931208777,0,0
2019-10-11,385.9,1.76,98.301,104203.0,4.588034200041356,11.554096198673905,0,0
2019-10-18,373.81,1.76,97.282,104493.0,4.577613977217045,11.556875362497431,0,0
2019-10-25,342.03,1.8,97.831,104985.0,4.583241500230445,11.56157276179175,0,0
2019-11-01,330.49,1.73,97.239,105276.0,4.577171865561231,11.564340751916385,0,0
2019-11-08,311.8200000000001,1.94,98.353,102034.0,4.588563047674376,11.533061370056528,0,0
2019-11-15,304.995,1.84,97.999,103444.0,4.584957274536877,11.546785682458331,0,0
2019-11-22,301.87,1.77,98.27,105388.0,4.587718792374336,11.565404056615359,0,0
2019-11-29,314.785,1.78,98.273,104748.0,4.587749320045128,11.55931274452335,0,0
2019-12-06,305.89,1.84,97.7,105867.0,4.581901559048737,11.56993886829666,0,0
2019-12-13,291.955,1.82,97.172,103879.0,4.576482604123837,11.550982039238244,0,0
2019-12-20,280.62,1.92,97.69,104699.0,4.581799199664851,11.55884484571464,0,0
2019-12-27,278.9,1.88,96.919,106319.0,4.57387557810723,11.574199287774798,0,0
2020-01-03,274.3,1.8,96.838,105421.0,4.573039479233707,11.565717136230267,0,0
2020-01-10,269.045,1.83,97.356,106214.0,4.578374363200928,11.57321120584359,0,0
2020-01-17,244.71,1.84,97.606,106455.0,4.580938966939347,11.575477639627193,0,0
2020-01-24,237.635,1.7,97.853,104351.0,4.5834663525443045,11.555515495593113,0,0
2020-01-31,239.77,1.51,97.39,102375.0,4.578723535973108,11.53639782115537,0,0
2020-02-07,254.81,1.59,98.684,102759.0,4.591922825902461,11.540141719763469,0,0
2020-02-14,264.22,1.59,99.124,104056.0,4.596371591631741,11.552684494743577,0,0
2020-02-21,284.57,1.46,99.262,102670.0,4.597762819059669,11.53927524029301,0,0
2020-02-28,348.035,1.13,98.132,107823.0,4.586313511137786,11.588246272769938,0,0
2020-03-06,356.615,0.74,95.951,106834.0,4.563837644494241,11.579031506904892,0,0
2020-03-13,478.0,0.94,98.749,104164.0,4.592581277147678,11.553721859162797,0,0
2020-03-20,546.165,0.92,102.817,93447.0,4.632950708998817,11.445149709639674,0,0
2020-03-27,450.855,0.72,98.365,95406.0,4.5886850497282285,11.465896748540452,0,0
2020-04-03,617.77,0.62,100.576,89553.0,4.610913660615157,11.402585907765237,0,0
2020-04-10,468.18500000000006,0.73,99.482,88918.0,4.599976723276737,11.395469875697426,0,0
2020-04-17,613.8499999999999,0.65,99.782,87909.0,4.602987806329025,11.384057467510363,0,0
2020-04-24,597.07,0.6,100.38,86446.0,4.608962984226787,11.367275220521016,0,0
2020-05-01,587.9749999999999,0.64,99.079,86242.0,4.5959175117159665,11.364912576968534,0,0
2020-05-08,643.24,0.69,99.734,85831.0,4.60250664190185,11.360135525582294,0,0
2020-05-15,618.195,0.64,100.402,84428.0,4.609182127377947,11.343654379120508,0,0
2020-05-22,544.7049999999999,0.66,99.863,92406.0,4.603799246680092,11.43394719058652,0,0
2020-05-29,545.61,0.65,98.344,91025.0,4.58847153636504,11.418889473043635,0,0
2020-06-05,481.51,0.91,96.937,92219.0,4.574061282960851,11.431921462067118,0,0
2020-06-12,475.77,0.71,97.319,93061.0,4.57799424248234,11.44101047109633,0,0
2020-06-19,469.43,0.7,97.623,91592.0,4.5811131213943,11.425099210603648,0,0
2020-06-26,487.0,0.64,97.433,90237.0,4.579164962300577,11.410194821498418,0,0
2020-07-03,463.05,0.68,97.172,90503.0,4.576482604123837,11.413138278309866,0,0
2020-07-10,478.775,0.65,96.652,90035.0,4.571116898663208,11.407953762603606,0,0
2020-07-17,517.5150000000001,0.64,95.942,89459.0,4.563743842218945,11.401535698744171,0,0
2020-07-24,486.035,0.59,94.435,93029.0,4.547911767147809,11.44066655148415,0,0
2020-07-31,553.68,0.55,93.349,90244.0,4.536345157557563,11.410272391990642,0,0
2020-08-07,584.5550000000001,0.57,93.435,91823.0,4.537266007374218,11.427618089889819,0,0
2020-08-14,546.725,0.71,93.096,88194.0,4.533631218805776,11.387294212470042,0,0
2020-08-21,551.385,0.64,93.247,88711.0,4.535251886424639,11.393139174137378,0,0
2020-08-28,525.945,0.74,92.371,84634.0,4.5258130765716835,11.34609135611061,0,0
2020-09-04,514.54,0.72,92.719,87546.0,4.529573413813716,11.379919648492077,0,0
2020-09-11,509.72,0.67,93.333,88187.0,4.536173743066191,11.387214838841322,0,0
2020-09-18,514.255,0.7,92.926,86318.0,4.531803477492106,11.365793430062114,0,0
2020-09-25,549.06,0.66,94.642,83517.0,4.550101352160279,11.332805482931114,0,0
2020-10-02,514.915,0.7,93.844,83637.0,4.541633829182719,11.334241284893558,0,0
2020-10-09,514.655,0.79,93.057,83594.0,4.533212208630591,11.33372702616225,0,0
